anatomical structure,methods,Dice
Right-Lateral-Ventricle,SyN,0.77907
Right-Lateral-Ventricle,SyN,0.775369
Right-Lateral-Ventricle,SyN,0.775546
Right-Lateral-Ventricle,SyN,0.860303
Right-Lateral-Ventricle,SyN,0.780318
Right-Lateral-Ventricle,SyN,0.863657
Right-Lateral-Ventricle,SyN,0.86512
Right-Lateral-Ventricle,SyN,0.841583
Right-Lateral-Ventricle,SyN,0.777472
Right-Lateral-Ventricle,SyN,0.707258
Right-Lateral-Ventricle,SyN,0.8608
Right-Lateral-Ventricle,SyN,0.838428
Right-Lateral-Ventricle,SyN,0.872024
Right-Lateral-Ventricle,SyN,0.832211
Right-Lateral-Ventricle,SyN,0.856209
Right-Lateral-Ventricle,SyN,0.683636
Right-Lateral-Ventricle,SyN,0.764077
Right-Lateral-Ventricle,SyN,0.832712
Right-Lateral-Ventricle,SyN,0.867902
Right-Lateral-Ventricle,SyN,0.832206
Right-Lateral-Ventricle,SyN,0.819658
Right-Lateral-Ventricle,SyN,0.819936
Right-Lateral-Ventricle,SyN,0.858918
Right-Lateral-Ventricle,SyN,0.826009
Right-Lateral-Ventricle,SyN,0.828809
Right-Lateral-Ventricle,SyN,0.87689
Right-Lateral-Ventricle,SyN,0.821456
Right-Lateral-Ventricle,SyN,0.862409
Right-Lateral-Ventricle,SyN,0.838856
Right-Lateral-Ventricle,SyN,0.862489
Right-Lateral-Ventricle,SyN,0.877145
Right-Lateral-Ventricle,SyN,0.796406
Right-Lateral-Ventricle,SyN,0.84404
Right-Lateral-Ventricle,SyN,0.840393
Right-Lateral-Ventricle,SyN,0.813822
Right-Lateral-Ventricle,SyN,0.87201
Right-Lateral-Ventricle,SyN,0.853606
Right-Lateral-Ventricle,SyN,0.788925
Right-Lateral-Ventricle,SyN,0.78519
Right-Lateral-Ventricle,SyN,0.839319
Right-Lateral-Ventricle,SyN,0.788306
Right-Lateral-Ventricle,SyN,0.759506
Right-Lateral-Ventricle,SyN,0.805305
Right-Lateral-Ventricle,SyN,0.852557
Right-Lateral-Ventricle,SyN,0.810072
Right-Lateral-Ventricle,SyN,0.787221
Right-Lateral-Ventricle,SyN,0.773117
Right-Lateral-Ventricle,SyN,0.859841
Right-Lateral-Ventricle,SyN,0.836243
Right-Lateral-Ventricle,SyN,0.793074
Right-Lateral-Ventricle,SyN,0.831874
Right-Lateral-Ventricle,SyN,0.802441
Right-Lateral-Ventricle,SyN,0.654841
Right-Lateral-Ventricle,SyN,0.802404
Right-Lateral-Ventricle,SyN,0.827355
Right-Lateral-Ventricle,SyN,0.816162
Right-Lateral-Ventricle,SyN,0.837992
Right-Lateral-Ventricle,SyN,0.794227
Right-Lateral-Ventricle,SyN,0.813527
Right-Lateral-Ventricle,SyN,0.859157
Right-Lateral-Ventricle,SyN,0.712109
Right-Lateral-Ventricle,SyN,0.837834
Right-Lateral-Ventricle,SyN,0.831809
Right-Lateral-Ventricle,SyN,0.844691
Right-Lateral-Ventricle,SyN,0.826341
Right-Lateral-Ventricle,SyN,0.823881
Right-Lateral-Ventricle,SyN,0.806932
Right-Lateral-Ventricle,SyN,0.758742
Right-Lateral-Ventricle,SyN,0.82348
Right-Lateral-Ventricle,SyN,0.828377
Right-Lateral-Ventricle,SyN,0.830836
Right-Lateral-Ventricle,SyN,0.82695
Right-Lateral-Ventricle,SyN,0.784174
Right-Lateral-Ventricle,SyN,0.830658
Right-Lateral-Ventricle,SyN,0.794838
Right-Lateral-Ventricle,SyN,0.838981
Right-Lateral-Ventricle,SyN,0.802646
Right-Lateral-Ventricle,SyN,0.875122
Right-Lateral-Ventricle,SyN,0.819222
Right-Lateral-Ventricle,SyN,0.835361
Right-Lateral-Ventricle,SyN,0.80076
Right-Lateral-Ventricle,SyN,0.80117
Right-Lateral-Ventricle,SyN,0.853326
Right-Lateral-Ventricle,SyN,0.843825
Right-Lateral-Ventricle,SyN,0.868224
Right-Lateral-Ventricle,SyN,0.827379
Right-Lateral-Ventricle,SyN,0.739689
Right-Lateral-Ventricle,SyN,0.870668
Right-Lateral-Ventricle,SyN,0.827256
Right-Lateral-Ventricle,SyN,0.702925
Right-Lateral-Ventricle,SyN,0.793793
Right-Lateral-Ventricle,SyN,0.803535
Right-Hippocampus,SyN,0.407249
Right-Hippocampus,SyN,0.482518
Right-Hippocampus,SyN,0.556121
Right-Hippocampus,SyN,0.543862
Right-Hippocampus,SyN,0.437388
Right-Hippocampus,SyN,0.499575
Right-Hippocampus,SyN,0.458677
Right-Hippocampus,SyN,0.481515
Right-Hippocampus,SyN,0.502972
Right-Hippocampus,SyN,0.67049
Right-Hippocampus,SyN,0.543653
Right-Hippocampus,SyN,0.624497
Right-Hippocampus,SyN,0.651789
Right-Hippocampus,SyN,0.595787
Right-Hippocampus,SyN,0.487713
Right-Hippocampus,SyN,0.664439
Right-Hippocampus,SyN,0.632222
Right-Hippocampus,SyN,0.568371
Right-Hippocampus,SyN,0.478285
Right-Hippocampus,SyN,0.511138
